Date,Price,Open,High,Low,Change %
12-Dec-19,"1,469.43","1,474.85","1,486.95","1,464.78",-0.37%
11-Dec-19,"1,474.85","1,464.19","1,479.04","1,462.59",0.73%
10-Dec-19,"1,464.21","1,461.93","1,469.36","1,459.80",0.15%
9-Dec-19,"1,461.99","1,459.49","1,465.80","1,458.76",0.15%
6-Dec-19,"1,459.76","1,475.70","1,477.45","1,458.61",-1.08%
5-Dec-19,"1,475.70","1,474.34","1,480.72","1,472.90",0.09%
4-Dec-19,"1,474.35","1,477.34","1,484.55","1,471.39",-0.20%
3-Dec-19,"1,477.34","1,462.50","1,482.22","1,459.39",1.02%
2-Dec-19,"1,462.44","1,467.03","1,467.03","1,453.91",-0.16%
29-Nov-19,"1,464.80","1,455.90","1,466.81","1,452.93",0.44%
28-Nov-19,"1,458.34","1,456.77","1,458.57","1,454.37",0.27%
27-Nov-19,"1,454.35","1,461.65","1,462.11","1,452.45",-0.50%
26-Nov-19,"1,461.60","1,454.98","1,462.97","1,450.63",0.46%
25-Nov-19,"1,454.97","1,462.29","1,462.41","1,453.89",-0.50%
22-Nov-19,"1,462.29","1,464.40","1,473.30","1,461.23",-0.14%
21-Nov-19,"1,464.40","1,471.25","1,475.98","1,462.60",-0.47%
20-Nov-19,"1,471.25","1,472.39","1,479.15","1,465.88",-0.08%
19-Nov-19,"1,472.38","1,470.85","1,475.72","1,464.60",0.10%
18-Nov-19,"1,470.85","1,467.66","1,474.30","1,456.26",0.24%
15-Nov-19,"1,467.37","1,471.20","1,471.49","1,462.28",-0.26%
14-Nov-19,"1,471.20","1,463.18","1,474.62","1,460.93",0.55%
13-Nov-19,"1,463.19","1,457.19","1,467.36","1,455.96",0.41%
12-Nov-19,"1,457.19","1,455.79","1,460.55","1,445.61",0.09%
11-Nov-19,"1,455.90","1,458.96","1,466.77","1,448.28",-0.19%
8-Nov-19,"1,458.66","1,468.01","1,473.33","1,456.28",-0.64%
7-Nov-19,"1,468.07","1,490.44","1,492.48","1,461.24",-1.50%
6-Nov-19,"1,490.46","1,484.10","1,494.46","1,482.45",0.43%
5-Nov-19,"1,484.10","1,509.64","1,510.10","1,479.65",-1.69%
4-Nov-19,"1,509.63","1,513.80","1,514.97","1,504.33",-0.29%
1-Nov-19,"1,513.95","1,513.32","1,515.81","1,503.31",0.04%
31-Oct-19,"1,513.35","1,496.40","1,514.53","1,493.72",1.20%
30-Oct-19,"1,495.40","1,487.60","1,496.91","1,481.21",0.52%
29-Oct-19,"1,487.60","1,492.69","1,495.16","1,483.72",-0.34%
28-Oct-19,"1,492.69","1,504.34","1,508.58","1,489.86",-0.80%
25-Oct-19,"1,504.73","1,504.75","1,518.07","1,500.56",0.07%
24-Oct-19,"1,503.65","1,492.15","1,504.27","1,488.02",0.77%
23-Oct-19,"1,492.10","1,488.35","1,496.50","1,487.62",0.27%
22-Oct-19,"1,488.05","1,484.52","1,489.29","1,480.87",0.24%
21-Oct-19,"1,484.50","1,492.02","1,495.48","1,481.91",-0.38%
